Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
228,Century Textiles & Industries Limited,CENTURYTEX,P&F | F.A,-4%,662.8,"1,13,557"
476,Housing and Urban Development Corporation,HUDCO,P&F | F.A,-4%,45.75,"65,70,904"
461,Himachal Futuristic Communications Limited,HFCL,P&F | F.A,-4%,67.95,"52,24,068"
415,Devyani International Ltd,DEVYANI,P&F | F.A,-4%,152.85,"12,37,020"
269,One 97 Communications Ltd,PAYTM,P&F | F.A,-4%,513.4,"25,03,278"
456,Rail Vikas Nigam Ltd,RVNL,P&F | F.A,-3.7%,72.9,"79,90,713"
474,Easy Trip Planners Ltd,EASEMYTRIP,P&F | F.A,-4%,49.15,"1,08,03,695"
93,Escorts Limited,ESCORTS,P&F | F.A,-4%,2010.2,"1,89,712"
480,Nbcc (india) Limited,NBCC,P&F | F.A,-4%,35.7,"54,25,287"
361,Vardhman Textiles Limited,VTL,P&F | F.A,-3.8%,287.6,"3,03,655"
219,Jk Lakshmi Cement Limited,JKLAKSHMI,P&F | F.A,-4%,712,"3,57,917"
234,Deepak Fertilizers And Petrochemicals Corporation Limited,DEEPAKFERT,P&F | F.A,-3.9%,630.1,"3,21,797"
3,Honeywell Automation India Limited,HONAUT,P&F | F.A,-4%,38300.35,"3,915"
125,Raymond Limited,RAYMOND,P&F | F.A,-4%,1461.9,"3,24,522"
411,Rain Industries Limited,RAIN,P&F | F.A,-4%,162.8,"19,35,533"
483,Tv18 Broadcast Limited,TV18BRDCST,P&F | F.A,-4%,32.45,"73,72,665"
380,Knr Constructions Limited,KNRCON,P&F | F.A,-4%,244.45,"2,30,849"
486,Central Bank Of India,CENTRALBK,P&F | F.A,-4%,28.55,"70,06,270"
189,CreditAccess Grameen Ltd,CREDITACC,P&F | F.A,-4%,869.35,"34,275"
101,Godfrey Phillips India Limited,GODFRYPHLP,P&F | F.A,-4%,1890.75,"1,01,778"
432,New India Assurance Company Ltd,NIACL,P&F | F.A,-4%,117.05,"9,01,937"
413,Religare Enterprises Limited,RELIGARE,P&F | F.A,-4%,158.7,"7,28,179"
46,Linde India Limited,LINDEINDIA,P&F | F.A,-4%,3228.35,"33,539"
262,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,P&F | F.A,-4%,527.6,"10,73,885"
303,Global Health Ltd,MEDANTA,P&F | F.A,-4%,437.55,"3,25,757"
495,Suzlon Energy Limited,SUZLON,P&F | F.A,-4%,9.1,"9,67,86,728"
207,Home First Finance Company India Ltd,HOMEFIRST,P&F | F.A,-4%,759,"1,64,273"
452,Tata Teleservices (maharashtra) Limited,TTML,P&F | F.A,-4%,77.65,"21,34,434"
392,Zensar Technologies Limited,ZENSARTECH,P&F | F.A,-4%,221,"12,35,164"
353,Apollo Tyres Limited,APOLLOTYRE,P&F | F.A,-4%,308.3,"36,50,520"
330,Mahindra Cie Automotive Limited,MAHINDCIE,P&F | F.A,-4%,360.65,"14,13,266"
363,Poonawalla Fincorp Ltd,POONAWALLA,P&F | F.A,-4.4%,285.85,"29,53,916"
322,Glenmark Pharmaceuticals Limited,GLENMARK,P&F | F.A,-4%,381.25,"12,03,872"
433,Rural Electrification Corporation Limited,RECLTD,P&F | F.A,-4%,115.15,"1,71,88,911"
198,Icici Bank Limited,ICICIBANK,P&F | F.A,-4%,817.2,"3,97,18,683"
434,Rashtriya Chemicals And Fertilizers Limited,RCF,P&F | F.A,-4%,113.5,"44,74,517"
453,Union Bank Of India,UNIONBANK,P&F | F.A,-4%,74.9,"2,39,63,704"
455,Bharat Heavy Electricals Limited,BHEL,P&F | F.A,-4.5%,73.25,"2,42,86,328"
396,Kiocl Limited,KIOCL,P&F | F.A,-5%,209.7,"1,28,766"
98,Amber Enterprises India Ltd,AMBER,P&F | F.A,-5%,1931.35,"1,13,982"
436,Kalyan Jewellers India Ltd,KALYANKJIL,P&F | F.A,-4.6%,111,"46,17,836"
454,Nlc India Limited,NLCINDIA,P&F | F.A,-4.6%,74.7,"31,74,571"
274,Kalpataru Power Transmission Limited,KALPATPOWR,P&F | F.A,-5%,500.2,"2,87,607"
417,Rbl Bank Limited,RBLBANK,P&F | F.A,-5%,150.65,"1,24,44,690"
121,Apar Industries Limited,APARINDS,P&F | F.A,-5%,1497.55,"1,99,859"
277,Keystone Realtors Ltd,RUSTOMJEE,P&F | F.A,-5%,493.15,"19,045"
351,KFin Technologies Ltd,KFINTECH,P&F | F.A,-4.7%,316.4,"2,41,863"
438,Karur Vysya Bank Limited,KARURVYSYA,P&F | F.A,-5%,104.4,"62,53,820"
488,Punjab & Sind Bank,PSB,P&F | F.A,-5%,28.35,"13,33,861"
444,Bharat Electronics Limited,BEL,P&F | F.A,-5%,94.3,"2,46,24,255"
491,Indian Overseas Bank,IOB,P&F | F.A,-4.9%,27.2,"2,73,73,779"
359,Canara Bank,CANBK,P&F | F.A,-5%,291,"1,55,18,076"
86,Balkrishna Industries Limited,BALKRISIND,P&F | F.A,-5%,2128.75,"4,52,570"
357,Fertilizers And Chemicals Travancore Limited,FACT,P&F | F.A,-5%,296.55,"5,24,795"
163,Patanjali Foods Ltd,PATANJALI,P&F | F.A,-5%,1104.2,"71,618"
266,Adani Wilmar Ltd,AWL,P&F | F.A,-5%,516.85,"9,81,654"
309,Bikaji Foods International Ltd,BIKAJI,P&F | F.A,-5%,420.9,"5,39,492"
378,Adani Power Limited,ADANIPOWER,P&F | F.A,-5%,247.95,"23,22,603"
479,Gmr Infrastructure Limited,GMRINFRA,P&F | F.A,-5%,36.95,"2,18,90,672"
440,Piramal Pharma Ltd,PPLPHARMA,P&F | F.A,-5%,102.85,"26,77,180"
401,Delta Corp Limited,DELTACORP,P&F | F.A,-5%,190.1,"41,06,109"
255,State Bank Of India,SBIN,P&F | F.A,-5%,539.95,"4,01,63,464"
421,Power Finance Corporation Limited,PFC,P&F | F.A,-5%,136.1,"1,74,40,386"
346,Swan Energy Limited,SWANENERGY,P&F | F.A,-5%,334.85,"11,82,493"
174,Macrotech Developers Ltd,LODHA,P&F | F.A,-5%,1011.55,"1,35,199"
496,Idea Cellular Limited,IDEA,P&F | F.A,-5%,6.4,"14,03,36,474"
27,Indiamart Intermesh Ltd,INDIAMART,P&F | F.A,-5%,4434.35,"64,055"
203,RHI Magnesita India Ltd,RHIM,P&F | F.A,-5%,786.55,"3,07,190"
431,Indiabulls Housing Finance Limited,IBULHSGFIN,P&F | F.A,-5.3%,117.95,"1,34,54,697"
301,Torrent Power Limited,TORNTPOWER,P&F | F.A,-5.4%,439.9,"4,06,744"
472,Punjab National Bank,PNB,P&F | F.A,-5.4%,50.8,"11,12,44,364"
425,Shipping Corporation Of India Limited,SCI,P&F | F.A,-6%,128.6,"19,08,980"
386,Hindustan Petroleum Corporation Limited,HINDPETRO,P&F | F.A,-6%,234.3,"62,39,083"
153,Angel One Ltd,ANGELONE,P&F | F.A,-6%,1181.8,"4,48,833"
451,Bank Of India,BANKINDIA,P&F | F.A,-6%,77.9,"2,22,72,182"
447,Ncc Limited,NCC,P&F | F.A,-6%,85.05,"58,04,554"
341,Sunteck Realty Limited,SUNTECK,P&F | F.A,-5.7%,343.45,"1,92,522"
489,Bank Of Maharashtra,MAHABANK,P&F | F.A,-6%,27.75,"3,50,75,461"
397,Welspun Corp Limited,WELCORP,P&F | F.A,-6.1%,206.9,"10,85,068"
487,Uco Bank,UCOBANK,P&F | F.A,-6%,28.4,"2,16,54,764"
473,Shree Renuka Sugars Limited,RENUKA,P&F | F.A,-6%,49.65,"1,60,81,122"
331,Quess Corp Limited,QUESS,P&F | F.A,-7%,356,"3,14,750"
469,The Jammu & Kashmir Bank Limited,J&KBANK,P&F | F.A,-7%,52.25,"1,07,85,791"
414,Bank Of Baroda,BANKBARODA,P&F | F.A,-7%,157.25,"4,64,82,837"
372,Irb Infrastructure Developers Limited,IRB,P&F | F.A,-8%,266.5,"48,45,213"
103,Acc Limited,ACC,P&F | F.A,-13.2%,1879.75,"40,94,621"
420,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,P&F | F.A,-13%,137,"1,92,74,989"
243,Adani Ports And Special Economic Zone Limited,ADANIPORTS,P&F | F.A,-16%,596.95,"6,41,94,046"
323,Ambuja Cements Limited,AMBUJACEM,P&F | F.A,-17%,380.45,"9,10,35,714"
60,Adani Enterprises Limited,ADANIENT,P&F | F.A,-19%,2761.45,"1,47,64,368"
64,Dixon Technologies,DIXON,P&F | F.A,-19%,2721.8,"49,60,069"
56,Adani Total Gas Ltd,ATGL,P&F | F.A,-20%,2928,"12,37,800"
92,Adani Transmission Limited,ADANITRANS,P&F | F.A,-20%,2014.2,"25,29,574"
123,Adani Green Energy Ltd,ADANIGREEN,P&F | F.A,-20%,1486.25,"58,38,601"
